"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\EventTimerandPriorityServicesTest","34","1","33"
"BootServicesTest\MemoryAllocationServicesTest","138","0","138"
"BootServicesTest\ProtocolHandlerServicesTest","1214","18","1196"
"BootServicesTest\ImageServicesTest","123","3","120"
"BootServicesTest\MiscBootServicesTest","132","3","129"
"RuntimeServicesTest\VariableServicesTest","53","8","45"
"RuntimeServicesTest\TimeServicesTest","46","4","42"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","4","8"
"LoadedImageProtocolTest","1420","0","1420"
"DevicePathProcotols\DevicePathProcotolTest","12","0","12"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","51","36","15"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","1","11"
"NetworkSupportTest\SimpleNetworkProtocolTest","35","18","17"
"HIITest\HIIDatabaseProtocolTest","22","4","18"
"HIITest\HIIConfigRoutingProtocolTest","19","19","0"
"Total service\Protocol","3344","119","3225"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\EventTimerandPriorityServicesTest","5.1.1.9.7","0","0","BA3D7E17-7EE1-4A0F-AA99-3C49233D6C36","FAIL","BS.CreateEventEx - Check the notification of the EFI_EVENT_GROUP_MEMORY_MAP_CHANGE and the notify order when Memory Allocation Services is called.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/EventTimerTaskPriorityServices/BlackBoxTest/EventTimerTaskPriorityServicesBBTestCreateEventEx.c:1054:Event's notify Tpl - 8,8,8","0x00010000","0F9FA263-7396-4759-8F4C-EFC6B6F159B8","No device path","CreateEventEx_Func_0_0_0F9FA263-7396-4759-8F4C-EFC6B6F159B8.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.90","0","0","4643E80E-A6BF-412C-B4FF-9629282BC831","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.91","0","0","25CFFDF5-D252-4515-AF8F-D8DB68F022C3","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.92","0","0","555913E8-BA56-4C68-80B5-A96B8A3AFCB1","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.43","0","0","8CD9BFBF-021F-469F-BCB3-9AFF5E90364B","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 4","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.44","0","0","C3F9EF08-B346-4C61-A4C4-6F319CB0C0FC","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 8","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.45","0","0","D0B46A61-8708-447B-8CB8-38606A134A64","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 16","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.66","0","0","6D5D96E5-87A3-4FE3-86CB-897F48AE3906","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_CHILD_CONTROLLER at EFI_TPL_APPLICATION","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:12832:Status - Invalid Parameter, TPL - 4","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.67","0","0","87AF92F4-0886-42BD-9AFE-B73E56BD7188","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_CHILD_CONTROLLER at EFI_TPL_CALLBACK","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:12832:Status - Invalid Parameter, TPL - 8","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.68","0","0","0767027F-A432-4A7F-A3B6-D89DDD686EE8","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_CHILD_CONTROLLER at EFI_TPL_NOTIFY","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:12832:Status - Invalid Parameter, TPL - 16","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
