"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ProtocolHandlerServicesTest","146","6","140"
"Total service\Protocol","146","6","140"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.90","0","0","4643E80E-A6BF-412C-B4FF-9629282BC831","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.91","0","0","25CFFDF5-D252-4515-AF8F-D8DB68F022C3","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.92","0","0","555913E8-BA56-4C68-80B5-A96B8A3AFCB1","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15517:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.43","0","0","8CD9BFBF-021F-469F-BCB3-9AFF5E90364B","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 4","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.44","0","0","C3F9EF08-B346-4C61-A4C4-6F319CB0C0FC","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 8","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.45","0","0","D0B46A61-8708-447B-8CB8-38606A134A64","FAIL","BS.DisconnectController - DisconnectController() disconnects related child handles with Child is not NULL at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:17558:Status - Success, TPL - 16","0x00010002","2AEEA797-C967-463E-BBBC-1D2490D17C91","No device path","DisconnectController_Func_0_0_2AEEA797-C967-463E-BBBC-1D2490D17C91.log"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.1","0","0","5062BA7F-98F8-42DD-984E-A3CFE74C7A74","PASS","BS.ConnectController - ConnectController() returns EFI_INVALID_PARAMETER with invalid controller handle.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestConformance.c:4560:Status - Invalid Parameter","0x00010002","B6C90CCE-9063-4A76-B82D-CAD4191E7514"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.2","0","0","D2A2F8DB-08BC-4C02-878B-8902D8F02401","PASS","BS.ConnectController - ConnectController() returns EFI_NOT_FOUND with related driver.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestConformance.c:4593:Status - Not Found","0x00010002","B6C90CCE-9063-4A76-B82D-CAD4191E7514"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.1","0","0","49160A12-5137-40EE-8FCA-8F3E90E1D524","PASS","BS.DisconnectController - DisconnectController() returns EFI_INVALID_PARAMETER with invalid controller handle","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestConformance.c:4747:Status - Invalid Parameter","0x00010002","94EEDBEC-55CA-442E-B99F-0788B8E51C10"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.2","0","0","90AB5FEE-4DE2-4136-9B22-34293E6002DE","PASS","BS.DisconnectController - DisconnectController() returns EFI_INVALID_PARAMETER with invalid driver image handle","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestConformance.c:4776:Status - Invalid Parameter","0x00010002","94EEDBEC-55CA-442E-B99F-0788B8E51C10"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.12.3","0","0","13F11092-EB7F-44B2-BA0F-4319823B63BD","PASS","BS.DisconnectController - DisconnectController() returns EFI_INVALID_PARAMETER with invalid child handle","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestConformance.c:4804:Status - Invalid Parameter","0x00010002","94EEDBEC-55CA-442E-B99F-0788B8E51C10"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.3","0","0","90263DDB-043B-480A-9BB4-1DBB4512E095","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with NULL driver handle and End device path at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12114:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.4","0","0","9E334C55-2D9D-4C6F-82ED-67F0682C4379","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with NULL driver handle and End device path at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12114:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.5","0","0","BF4441CF-401D-45ED-A1A9-A888806CD892","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with NULL driver handle and End device path at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12114:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.6","0","0","3CCB67C9-D8B1-44E6-8C47-4A79E81217E2","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12287:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.9","0","0","14AC9B54-E7C7-4858-8669-332388F166F9","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12319:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
