"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","0","20"
"Total service\Protocol","20","0","20"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.3","0","0","C34C3FA4-A61E-4598-9F80-2DEE8E2C9B57","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVideo operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1208: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=2048","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.4","0","0","33A341EA-C6A2-4037-8A2D-19EA1FE2F2A6","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVideo operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1309: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0 ","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.5","0","0","13F113DC-AFD0-4658-B7FB-83D5AE6F1058","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVide operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1333: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=2048 ","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.6","0","0","5CA291CC-84A0-489D-9B2A-0F2FCCC60B29","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVide operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1373: Status = Success,Video Source=(0x0),Buffer Destination=(0x0), Width=512, Height=384, Delta=2048","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.1","0","0","95A44702-CEA0-480F-9F84-E24C17BF4779","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoFill operation should fill graphic screen with pixels.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:910: Status = Success, Mode index = 0, Pixel Index = 196608, Source=(0x0), Destination=(0x0), Width=512, Height=384, Pixel Get = 0xFF0000FF, Pixel expected = 0xFF0000FF, Delta=0, Blt=255","0x00010000","442B902B-44A8-4C1E-BF2C-50EC4FA4367B"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.2","0","0","699C30B0-AB3F-45D9-BD69-6B9396B77E66","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoFill operation should fill graphic screen with pixels.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:939: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","442B902B-44A8-4C1E-BF2C-50EC4FA4367B"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.7","0","0","6C2632C0-E3DE-4AFC-B3A1-BE5075AB2D7A","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoToVideo operation should copy data from one video display rectangle to another.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1750: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","734F7F92-AA5E-407B-ABB5-08F73AABDDDD"
