"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","4","16"
"Total service\Protocol","20","4","16"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.6","0","0","5CA291CC-84A0-489D-9B2A-0F2FCCC60B29","FAIL","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVide operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1373: Status = Success,Video Source=(0x0),Buffer Destination=(0x0), Width=512, Height=384, Delta=2048","0x00010000","B504931B-BC55-4E84-8229-F831623785FB","No device path","BltVideoBltBuffer_Func _0_0_B504931B-BC55-4E84-8229-F831623785FB.log"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.1","0","0","95A44702-CEA0-480F-9F84-E24C17BF4779","FAIL","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoFill operation should fill graphic screen with pixels.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:910: Status = Success, Mode index = 0, Pixel Index = 1, Source=(0x0), Destination=(0x0), Width=512, Height=384, Pixel Get = 0xFF0000F8, Pixel expected = 0xFF0000FF, Delta=0, Blt=255","0x00010000","442B902B-44A8-4C1E-BF2C-50EC4FA4367B","No device path","BltVideoFill_Func_0_0_442B902B-44A8-4C1E-BF2C-50EC4FA4367B.log"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.1","0","0","D1824539-92CD-434C-8165-872CC21A5F9E","FAIL","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode returns EFI_SUCCESS with valid parameter","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:246: Status","0x00010000","00097A6F-F44A-45E0-A250-CE43805C8C6E","No device path","QueryMode_Func_0_0_00097A6F-F44A-45E0-A250-CE43805C8C6E.log"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.1","0","0","B3A4939B-D00A-4DA7-AF6D-F3EECBF9990C","FAIL","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode SetMode() returns EFI_SUCCESS when setting the graphics device and the set of active video output devices to the video mode specified by ModeNumber.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:659, The visible portions of the output screen should be black","0x00010000","431549C4-EC39-4995-BFB7-6CCB075BF1BE","No device path","SetMode_Func_0_0_431549C4-EC39-4995-BFB7-6CCB075BF1BE.log"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.3","0","0","C34C3FA4-A61E-4598-9F80-2DEE8E2C9B57","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVideo operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1208: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=2048","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.4","0","0","33A341EA-C6A2-4037-8A2D-19EA1FE2F2A6","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVideo operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1309: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0 ","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.5","0","0","13F113DC-AFD0-4658-B7FB-83D5AE6F1058","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltBufferToVide operation should write data to video screen and EfiBltVideoToBltBuffer operation should read data from video display rectangle.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1333: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=2048 ","0x00010000","B504931B-BC55-4E84-8229-F831623785FB"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.2","0","0","699C30B0-AB3F-45D9-BD69-6B9396B77E66","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoFill operation should fill graphic screen with pixels.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:939: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","442B902B-44A8-4C1E-BF2C-50EC4FA4367B"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.7","0","0","6C2632C0-E3DE-4AFC-B3A1-BE5075AB2D7A","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoToVideo operation should copy data from one video display rectangle to another.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1750: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","734F7F92-AA5E-407B-ABB5-08F73AABDDDD"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.8","0","0","07D1D0C1-3884-4310-97BC-16D6AA1A2180","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoToVideo operation should copy data from video display rectangle to another.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1783: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","734F7F92-AA5E-407B-ABB5-08F73AABDDDD"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.9","0","0","11AF616A-BEF5-4590-BE85-1952A00DE1AF","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt CallBlt()with invalid BltOperation","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:417: Status = Invalid Parameter,Expected = Invalid Parameter, Source=(0x0), Destination=(0x0), Width=1, Height=1, Delta=0,BltOperation=4","0x00010000","2CE3AB58-A0EA-427C-9EE6-0A5F52557E5D"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.2","0","0","82DFD41E-49DB-4C86-99BB-C574334BA0C3","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with MaxMode.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:142:maxmode: 1,Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.3","0","0","8EBCD9AB-69A9-48A2-9BBC-8C479E689156","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with a SizeOfInfo value of NULL","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:172: Input invalide &SizeofInfo,Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.4","0","0","394E306B-652A-403A-BD15-DB9B46C3443B","PASS","ConsoleContro.QueryMode  CallQueryMode() with an Info value of NULL.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:199:, Input invalid &Info, Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
