"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\EventTimerandPriorityServicesTest","34","0","34"
"BootServicesTest\MemoryAllocationServicesTest","102","0","102"
"BootServicesTest\ProtocolHandlerServicesTest","1216","3","1213"
"BootServicesTest\ImageServicesTest","125","1","124"
"BootServicesTest\MiscBootServicesTest","132","3","129"
"RuntimeServicesTest\VariableServicesTest","59","5","54"
"RuntimeServicesTest\TimeServicesTest","46","2","44"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","3","9"
"LoadedImageProtocolTest","1492","0","1492"
"DevicePathProcotols\DevicePathProcotolTest","13","0","13"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","55","34","21"
"NetworkSupportTest\SimpleNetworkProtocolTest","38","0","38"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","0","12"
"ConsoleSupportTest\SimpleTextInputExProtocolTest","10","0","10"
"ConsoleSupportTest\SimpleInputProtocolTest","4","0","4"
"ConsoleSupportTest\SimpleOutputProtocolTest","66","0","66"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","2","18"
"GenericTest\EFICompliantTest","35","27","8"
"MediaAccessTest\SimpleFileSystemProtocolTest","161","10","151"
"MediaAccessTest\BlockIOProtocolTest","16","0","16"
"HIITest\HIIDatabaseProtocolTest","22","4","18"
"SecureTechTest\RNGProtocolTest","10","0","10"
"Total service\Protocol","3701","94","3607"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.90","0","0","4643E80E-A6BF-412C-B4FF-9629282BC831","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_APPLICATION.","SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15484:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.91","0","0","25CFFDF5-D252-4515-AF8F-D8DB68F022C3","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_CALLBACK.","SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15484:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.92","0","0","555913E8-BA56-4C68-80B5-A96B8A3AFCB1","FAIL","BS.ConnectController - Platform Driver Override's priority is higher than Bus Specific Driver Override's at EFI_TPL_NOTIFY.","SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:15484:Status - Not Found, Status1 - Success, Status2 - Not Found, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506","No device path","ConnectController_Func_0_0_705E2497-1B8F-4307-91E1-F33F2F2B5506.log"
"BootServicesTest\ImageServicesTest","5.1.4.1.22","0","0","1D8B160C-7601-47C9-8102-68C0F801314B","FAIL","BS.LoadImage - LoadImage() load valid hii image from memory,return code should be EFI_SUCCESS","SctPkg/TestCase/UEFI/EFI/BootServices/ImageServices/BlackBoxTest/ImageBBTestFunction.c:1887:Status - Unsupported, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4","No device path","LoadImage_Func_0_0_2FF0431A-8E07-4CDB-A298-D004566A74D4.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.17","0","0","F48D1C2D-1EBA-4E4C-A16D-748A01ABE6C1","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_APPLICATION.","SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1734:Count - 2, Count2 - 0, TPL - 4","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.18","0","0","E8B96EA0-6413-4947-AD1A-31EEF868A372","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_CALLBACK.","SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1734:Count - 3, Count2 - 0, TPL - 8","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.19","0","0","0EC16C83-177D-461A-9622-42508C99D966","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_NOTIFY.","SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1734:Count - 3, Count2 - 0, TPL - 16","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.44","0","0","E9893BCB-EF2B-495C-82F0-D0630DA79476","FAIL","RT.SetVariable - SetVariable to enroll an invalid time based authenticated variable which signed by certificate but several bit changed. ","SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:225:Status - Success","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.45","0","0","2534ABC0-1F01-48A0-96DE-F8BBA745C364","FAIL","RT.SetVariable - SetVariable to enroll time based authenticated variable which signed by certificate with invalid attribute. ","Attributes = Array[0]. SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:258:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","","0","0","55AF8FAD-1B12-45AD-B042-A643962F0470","FAIL","RT.SetVariable - Set Auth Variable with invalid cert.","Attributes = Array[0]. SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:283:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
